epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,754.916,0.69296,0.42962,0.88891,0.86942,0.61493,0.69221,0.44689,0.78114,0.44774,0.76785,0.000424187,0.000424187,0.000424187
43,774.046,0.6774,0.42567,0.89263,0.86692,0.6113,0.69163,0.44694,0.7764,0.44481,0.76272,0.000417119,0.000417119,0.000417119
44,791.165,0.70572,0.42008,0.87684,0.8638,0.60006,0.68527,0.43675,0.80633,0.47405,0.7771,0.00041005,0.00041005,0.00041005
45,809.224,0.67277,0.41103,0.88144,0.83993,0.62892,0.69471,0.44603,0.75777,0.43386,0.75504,0.000402982,0.000402982,0.000402982
46,826.185,0.66407,0.40869,0.8805,0.86284,0.61705,0.69299,0.44809,0.75929,0.43737,0.75985,0.000395913,0.000395913,0.000395913
47,846.45,0.66903,0.40234,0.87783,0.87614,0.60761,0.69738,0.44813,0.77277,0.43492,0.76736,0.000388844,0.000388844,0.000388844
48,864.13,0.68304,0.40223,0.87901,0.85465,0.62356,0.6943,0.44905,0.7627,0.43195,0.75831,0.000381776,0.000381776,0.000381776
49,883.778,0.70254,0.43327,0.86317,0.86123,0.62818,0.70265,0.45478,0.76205,0.42423,0.75916,0.000374707,0.000374707,0.000374707
50,902.119,0.68548,0.40776,0.87572,0.87425,0.61197,0.70048,0.45483,0.76956,0.44305,0.77232,0.000367639,0.000367639,0.000367639
51,920.364,0.67433,0.4029,0.88837,0.85051,0.63235,0.7067,0.46146,0.7571,0.42881,0.7666,0.00036057,0.00036057,0.00036057
52,939.061,0.66264,0.39283,0.88353,0.8597,0.6289,0.70215,0.45264,0.75788,0.42693,0.75927,0.000353501,0.000353501,0.000353501
53,955.568,0.65539,0.39403,0.88098,0.87802,0.61243,0.70483,0.45908,0.75778,0.4317,0.76037,0.000346433,0.000346433,0.000346433
54,972.438,0.6368,0.38503,0.87294,0.8404,0.6321,0.70325,0.46008,0.74919,0.42292,0.7564,0.000339364,0.000339364,0.000339364
55,990.188,0.65724,0.3923,0.87523,0.88182,0.60298,0.69951,0.45447,0.75416,0.43188,0.75507,0.000332296,0.000332296,0.000332296
56,1007.91,0.64303,0.3812,0.87714,0.86721,0.62279,0.70295,0.45547,0.76069,0.42227,0.75611,0.000325227,0.000325227,0.000325227
57,1026.2,0.65608,0.38606,0.86805,0.86878,0.62834,0.71346,0.46586,0.74737,0.41389,0.75438,0.000318158,0.000318158,0.000318158
58,1044.67,0.64428,0.38305,0.87602,0.86358,0.63,0.71529,0.46973,0.74345,0.42124,0.75899,0.00031109,0.00031109,0.00031109
59,1063.58,0.65078,0.38227,0.8724,0.85562,0.64273,0.71764,0.46924,0.75466,0.41581,0.76463,0.000304021,0.000304021,0.000304021
60,1081.7,0.64893,0.38267,0.87429,0.87833,0.62651,0.71707,0.47334,0.73698,0.40652,0.75494,0.000296953,0.000296953,0.000296953
61,1101.09,0.65125,0.38202,0.87047,0.8531,0.63608,0.7123,0.46321,0.74061,0.40725,0.75267,0.000289884,0.000289884,0.000289884
62,1117.58,0.62893,0.37365,0.87109,0.88123,0.62225,0.71134,0.46562,0.74198,0.40915,0.75536,0.000282815,0.000282815,0.000282815
63,1134.92,0.64696,0.38359,0.87053,0.87912,0.62382,0.71494,0.47215,0.73417,0.40172,0.75339,0.000275747,0.000275747,0.000275747
64,1153.42,0.66372,0.38285,0.86781,0.87021,0.63234,0.7222,0.47634,0.74252,0.41809,0.75819,0.000268678,0.000268678,0.000268678
