epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,583.341,0.74869,0.47981,0.90175,0.82738,0.55074,0.61519,0.38586,0.83083,0.50792,0.77493,0.000424187,0.000424187,0.000424187
43,596.888,0.74265,0.48075,0.91025,0.82729,0.55261,0.61541,0.39126,0.84086,0.50725,0.7844,0.000417119,0.000417119,0.000417119
44,611.093,0.75774,0.4751,0.89211,0.82427,0.5483,0.61561,0.38643,0.82651,0.50524,0.77201,0.00041005,0.00041005,0.00041005
45,624.832,0.73731,0.47325,0.8963,0.80849,0.55363,0.60582,0.37918,0.84773,0.60372,0.78859,0.000402982,0.000402982,0.000402982
46,637.748,0.71473,0.45698,0.89503,0.83953,0.54597,0.63005,0.39712,0.81767,0.49135,0.77314,0.000395913,0.000395913,0.000395913
47,651.363,0.72699,0.4654,0.89289,0.828,0.56612,0.63116,0.39761,0.81883,0.49424,0.77062,0.000388844,0.000388844,0.000388844
48,664.887,0.74001,0.4622,0.89313,0.83138,0.56382,0.62985,0.39594,0.81773,0.48093,0.77721,0.000381776,0.000381776,0.000381776
49,677.973,0.75126,0.5068,0.8768,0.84769,0.55569,0.63014,0.3974,0.81399,0.48297,0.76719,0.000374707,0.000374707,0.000374707
50,691.401,0.74677,0.46075,0.89318,0.8255,0.54988,0.62037,0.391,0.82951,0.50229,0.77242,0.000367639,0.000367639,0.000367639
51,704.849,0.7326,0.45756,0.90169,0.8185,0.57022,0.63273,0.39807,0.82958,0.50504,0.77548,0.00036057,0.00036057,0.00036057
52,718.509,0.7174,0.45042,0.89484,0.86484,0.55167,0.63519,0.39508,0.81602,0.48907,0.76761,0.000353501,0.000353501,0.000353501
53,732.567,0.719,0.45849,0.8994,0.84794,0.55876,0.63871,0.40623,0.80267,0.47567,0.76219,0.000346433,0.000346433,0.000346433
